"age","gender","race","income","education","stratum","strata_n","m1Am","m1Bmfit","m1Bmupr","m1Bmlwr","m2Bmfit","m2Bmupr","m2Bmlwr","m2BmfitL","m2BmuprL","m2BmlwrL","m2BmF","mean_bmi","mean_obesity","rank"
"old","male","brown","ihigh","ehigh","oldmalebrownihighehigh",341,27.5018357087531,27.4434313549952,28.01611681642,26.9007799010471,0.209571609311226,0.255447889059587,0.173439788465301,-1.32183004707043,-1.06927428595236,-1.56031309133467,-1.47362262548286,27.5689825582896,21.9941348973607,123
"old","female","white","ilow","elow","oldfemalewhiteilowelow",507,27.2956501979138,27.2524763906118,27.7298254513774,26.7507458593797,0.276429630193224,0.319059182700806,0.237912996518548,-0.956087543484423,-0.749642029444055,-1.15944253638926,-1.18938767733479,27.3274196589993,28.7968441814596,109
"old","female","white","ilow","emid","oldfemalewhiteilowemid",174,27.123961613316,27.0338826229614,27.7475105718129,26.3765122506098,0.252419123345931,0.310944063863487,0.200835736262717,-1.08651161635934,-0.790880764526708,-1.38582005617948,-1.22300306018395,27.1840373995924,27.0114942528736,89
"old","female","white","ilow","ehigh","oldfemalewhiteilowehigh",35,26.9935901453288,26.7850796736622,27.8294482309729,25.7873387824255,0.20514238692568,0.280027067072189,0.152354912890059,-1.34712089336772,-0.983862023696422,-1.7541242406069,-1.33594038462332,27.1695868201415,20,78
"old","female","white","imid","elow","oldfemalewhiteimidelow",1337,27.2685039127357,27.2686915787543,27.6938119647476,26.8586394556994,0.256191702856279,0.287630072049823,0.225235119504743,-1.06688829086094,-0.895671550525127,-1.23006112415721,-1.10008938160254,27.2798824871901,25.5796559461481,115
"old","female","white","imid","emid","oldfemalewhiteimidemid",411,27.2162695542304,27.1929991475901,27.7491820847146,26.7083042840538,0.249993237161409,0.295368769161436,0.210865826637274,-1.09923260313023,-0.865904437106669,-1.32461230049679,-1.13370476445169,27.2490992578944,25.3041362530414,104
"old","female","white","imid","ehigh","oldfemalewhiteimidehigh",137,27.1350173931901,27.1370112780463,27.8564730626042,26.3353370905712,0.217401649859466,0.27508367647585,0.169762917997266,-1.28128048110063,-0.978236628007998,-1.60299463408307,-1.24664208889106,27.2139755546758,21.1678832116788,96
"old","female","white","ihigh","elow","oldfemalewhiteihighelow",1147,27.2656337985203,27.2597826962837,27.6649835978547,26.826568211431,0.26408452128612,0.300759859498262,0.228806329939371,-1.03135244785489,-0.860522396115772,-1.20816113579607,-1.14019488749209,27.2788148250459,26.5039232781168,111
"old","female","white","ihigh","emid","oldfemalewhiteihighemid",920,26.9131794876167,26.9155262852926,27.350644788309,26.5061789846029,0.223145628196498,0.257491470400116,0.193417443716219,-1.23883353996742,-1.05878014305805,-1.44329919517437,-1.17381027034125,26.9169967216851,22.1739130434783,83
"old","female","white","ihigh","ehigh","oldfemalewhiteihighehigh",1319,26.4974059061895,26.5042884846642,26.9162144443903,26.0829951148385,0.196762080517401,0.227939933716545,0.16947058185535,-1.39815334627132,-1.22570048142931,-1.57304219908206,-1.28674759478062,26.4896878521724,19.4844579226687,59
